refcode,HOMO,LUMO,gap,dipole_moment_Debye,splitting,hirshfeld,N_FOD
DEFPEJ,-4.6755,-2.1926,2.4829,13.33493,-38.7,0.078502,0.952347
DEGJEF,-4.4034,-2.0963,2.3071,19.57451,-8.84,0.173573,1.18138
DEKFAD,-5.886,-2.5572,3.3288,6.51451,104.89,-0.024554,0.514915
DEKFEH,-5.2914,-1.9195,3.3719,6.41184,92.81,-0.066875,0.760209
DELPOZ01,-12.0679,-10.0528,2.0151,0.17063,60.72,0.189167,1.891604
DENYAZ,-10.6788,-8.1203,2.5585,8.84719,42.77,0.060804,0.951103
DEPLES,-11.8124,-8.4191,3.3933,2.58463,-24.39,0.207095,0.348679
DEQNIX,-4.8691,-1.0522,3.8169,8.13966,47.65,-0.054967,0.391016
DESSAW,-7.4647,-4.8183,2.6464,5.17571,-30.8,0.150788,0.672449
DEXFAN,-4.192,-1.3026,2.8894,6.17981,31.02,-0.04623,0.683686
DEXFOB,-4.2216,-2.4596,1.762,9.48801,-38.06,0.119382,1.281055
DEXZAK,-4.6075,-2.6156,1.9919,3.66109,-22.6,0.272578,1.923989
DIBHIF,-6.179,-2.1679,4.0111,2.6847,67.75,-0.051861,0.461819
DIDMAG,-1.8979,0.5461,2.444,13.02942,-34.18,0.055019,1.117647
DIDMEK,-2.0255,0.2861,2.3116,10.62536,-30.22,0.018919,1.272938
DIFKUY,-5.0341,-2.6873,2.3468,13.67861,-13.4,0.126645,1.076439
DIGJEJ,-4.8208,-1.2765,3.5443,10.15115,38.79,0.022489,0.383643
DIGNUD,-5.2315,-2.7517,2.4798,15.42047,20.79,0.091238,1.031688
DIHZEC,-6.0854,-3.9391,2.1463,0.8253,-11.71,0.464203,0.901945
DIJJIR,-5.1124,-1.8707,3.2417,5.078,-41.16,0.224558,0.874665
DIJPOE,-8.2326,-4.1466,4.086,3.39964,55.33,-0.098687,0.265335
DIJQAR,-4.7024,-1.3219,3.3805,9.42371,36.46,-0.052658,0.525508
DIMDAH,-4.205,-1.4781,2.7269,6.63705,-31.46,0.157238,0.570052
DIMPEU11,-5.0321,-1.2385,3.7936,0,-44.02,0.2105,0.291731
DIRPOJ,-4.8611,-2.6682,2.1929,16.2724,26.25,0.051392,0.948783
DITLAW,-5.0725,-2.1775,2.895,10.18525,-18.26,0.11417,0.75525
DITQEE,-4.8594,-3.6602,1.1992,19.2477,-57.16,0.249223,1.131381
DIXXEP,-3.7938,-0.9085,2.8853,11.06305,-65.4,0.168972,0.502948
DIYVAL,-4.821,-0.8267,3.9943,8.39789,-23.12,0.179524,0.463035
DODWUQ,-3.9732,-2.4084,1.5648,13.00721,-25.68,0.196019,1.511395
DOFVIG,-10.8126,-7.0816,3.731,2.32362,-44.84,0.362969,0.311298
DOFZAA,-4.8725,-1.2114,3.6611,4.74551,90.32,-0.125177,0.408284
DOGHEM,-8.6196,-5.6153,3.0043,2.22484,44.54,0.14511,0.854257
DOGHOY,-7.2993,-6.2417,1.0576,9.39551,-41.92,0.370132,1.755473
DOHXED,-8.4844,-6.0632,2.4212,7.75761,-19.34,0.203087,0.420981
DOJCOX,-0.2864,2.2667,2.5531,4.91959,-32.12,0.122415,0.497526
DOKQOJ,-4.7034,-1.2002,3.5032,0,33.35,-0.088863,0.523904
DOPROS,-4.9438,-1.8404,3.1034,8.67502,35.48,-0.095202,0.947472
DOQRAC,-11.558,-7.6682,3.8898,4.69265,5.09,0.095335,0.450214
DOQWUC,-4.3002,-1.7403,2.5599,3.92939,-58.55,0.217235,0.861771
DOQXUD,-3.9136,-1.652,2.2616,1.95686,-56.41,0.208053,0.868414
DORPIJ,-1.0653,0.8445,1.9098,5.79421,-15.94,0.128491,1.759911
DORZEP,-1.7521,2.4065,4.1586,14.52935,-36.59,0.286606,0.26424
DOVKUV,-5.0054,-2.5765,2.4289,6.43799,-46.38,0.333536,0.870048
DOVMOQ,-5.3195,-2.9422,2.3773,4.84074,46.9,0.152011,0.951834
DOVTUD,-4.769,-1.9341,2.8349,15.36347,-41.31,0.109689,0.761296
DOVYES,-8.985,-5.7525,3.2325,2.55619,63.94,0.077912,0.546508
DOXXOE,-4.4819,-2.4868,1.9951,10.59368,-16.37,0.179826,0.775431
DOZQIV,-5.1507,-2.4255,2.7252,4.50309,41.69,-0.046128,0.943705
DPBPCR,-7.8352,-5.7478,2.0874,10.21539,-48.39,0.205819,1.187221
DUBPIA,-4.0101,-1.3561,2.654,0.58474,-63.47,0.254654,0.538971
DUCGUD,-8.5098,-5.286,3.2238,5.62706,98.75,0.037152,0.808731
DUCQIC,-4.8232,-2.8738,1.9494,7.70748,-21.12,0.294278,0.548507
DUDTUS,-11.2208,-7.8194,3.4014,7.80179,80.36,-0.010133,0.978237
DUFLEW,-4.5905,-2.7586,1.8319,5.85746,-30.85,0.30729,1.472455
DUGPIF,1.7559,6.8213,5.0654,6.7229,147.03,-0.075107,0.20752
DUJCIU,3.3852,5.423,2.0378,0.94974,-26.99,0.036337,1.607775
DULQAD,-12.7199,-9.2896,3.4303,5.40065,-39.7,0.350469,0.525107
DUMCUJ,-4.3237,-2.1208,2.2029,1.48726,18.38,-0.150023,1.156274
DUPMUX,-5.0466,-2.7867,2.2599,5.38589,-28.17,0.227656,1.055785
DUQQAJ,-4.5683,-3.3156,1.2527,5.45565,-62.61,0.18177,1.199196
DUSSAL,-4.6569,-2.3586,2.2983,16.288,-28.8,0.029348,0.979299
DUSSOB,-4.2893,-2.1647,2.1246,12.40156,-41.47,0.094504,1.22088
DUTMIO10,-5.4461,-2.0813,3.3648,1.5896,-43.43,0.087888,0.612192
DUWWEY,-7.876,-4.802,3.074,17.64746,-28.41,0.238564,0.778679
DUXWAW,-12.38,-9.2427,3.1373,1.70293,-33.58,0.110843,0.295543
DUYZII,-4.2813,-1.9813,2.3,0.27069,-66.72,0.246763,0.728966
EACMCO,-4.4682,-1.4027,3.0655,4.26748,57.58,0.153245,0.65111
EAIMCO,-4.4968,-1.7561,2.7407,3.97981,25.83,0.126562,0.795297
EAIVCO,-4.6094,-1.1993,3.4101,3.83657,70.3,0.108692,0.577844
EAMNCR10,-5.2917,-1.4523,3.8394,9.6118,144.29,0.035375,0.369262
EBECAP,2.4479,4.9877,2.5398,0.03595,-23.55,-0.016436,1.515882
EBIXAQ,-2.0663,-1.1045,0.9618,0.3676,33.33,-0.085641,1.929385
EBOTEU,-5.0843,-2.1406,2.9437,0.44783,-53.46,0.179227,0.407022
EBOTIY,-5.2292,-1.9696,3.2596,0.62662,12.32,0.180311,0.497831
EBUSEB,-6.0601,-3.0611,2.999,4.00E-05,-11.9,0.172926,0.491642
ECADOB01,-13.9615,-10.3988,3.5627,0,-17.58,0.324532,0.246941
ECBIMA10,-5.0684,-1.2694,3.799,10.3032,-37.81,0.219294,0.386667
ECEWAL,-4.2231,-2.2576,1.9655,13.82469,-30.57,0.190133,1.376799
ECEXIU,-4.2602,-2.155,2.1052,3.53472,-19.08,0.196158,0.998288
ECOPAO,-6.0756,-3.7598,2.3158,4.01846,-33.67,0.346562,0.814811
ECOXAW,-4.2786,-2.9392,1.3394,4.41474,-61.61,0.303999,1.355228
EDAMEE,-5.4018,-2.6785,2.7233,8.86387,85.02,0.036223,0.675199
EDECEX,-4.7623,-3.0423,1.72,5.08273,-1.69,0.114761,1.750901
EDEZEU,-5.1381,-2.6601,2.478,2.17652,-41.94,0.227237,0.644984
EDIDAX,-13.0481,-9.8451,3.203,5.49423,-11.28,0.28523,0.473535
EDIDED,-3.2843,-0.5985,2.6858,5.66062,-46.39,0.161942,0.729542
EDIGON,-4.4233,-1.4762,2.9471,1.74083,52.57,0.076169,0.59406
EDIJIL,-3.4833,-0.0452,3.4381,4.81807,57.68,-0.132995,0.51573
EDISOA,-5.4811,-2.9648,2.5163,16.7909,-43.73,0.294158,0.640476
EDIXIY,-4.4004,-1.7475,2.6529,5.59726,15.19,0.012935,0.765062
EDOZAA,-4.654,-1.8242,2.8298,3.02145,39.93,-0.150153,0.766044
EDUPOL,-4.7827,-0.7141,4.0686,1.00E-05,77.07,-0.076499,0.337958
EGAMUX,-4.1039,-1.3928,2.7111,4.34248,46.81,-0.114721,1.074115
EGEMOS,-4.3244,-2.1471,2.1773,6.43084,43.97,0.069142,1.160193
EGEYIA,-5.4335,-3.1011,2.3324,12.14294,-41.29,0.188971,0.8564
EGUVOR,-5.2118,-2.318,2.8938,0.15784,-37.76,0.177382,1.153989
EGUZUB,-12.2267,-8.2765,3.9502,0.00017,56.59,-0.125833,0.414414
EHEXOE,0.883,3.4312,2.5482,5.36833,-25.2,0.344452,0.555504
EHIJEM,-8.2617,-4.8843,3.3774,12.17623,-27.87,0.190618,0.533629
EHIWIC,2.5438,6.6611,4.1173,0,-56.48,0.133532,0.164587
EJEVEV,-7.9869,-5.871,2.1159,7.04667,-40.98,0.303589,0.54863
EJOJOC,-4.4899,-1.941,2.5489,3.19503,-30.94,0.253299,1.421627
EJUSEK,-7.6133,-4.4188,3.1945,8.89918,-44.21,0.159636,0.882658
EKOKEV,-4.9875,-2.0533,2.9342,1.47898,90.21,-0.039499,0.624028
EKOXOR,-5.1865,-1.7739,3.4126,8.32695,137.14,0.001423,0.646217
ELAKOR,-4.6601,-1.6001,3.06,3.80884,43.37,-0.155139,0.600025
ELUJUQ,-4.8668,-3.1247,1.7421,17.43095,-11.41,0.333773,1.332112
ELUSUB,-4.9992,-2.7635,2.2357,10.70858,-21.22,0.098376,0.928494
ELUTAI,-5.3466,-3.0534,2.2932,10.29708,-19.64,0.126497,1.010634
ELUXIU,-8.2815,-4.7714,3.5101,18.13477,23.13,0.100281,0.866195
EMEDEH,-5.0846,-1.9334,3.1512,3.05863,-24.64,0.23213,0.571994
EMEKOW,-6.0806,-3.8093,2.2713,16.54109,-8.37,0.061662,1.249539
ENDACR,-18.8683,-13.6569,5.2114,0.07109,-51.08,0.385307,0.101393
ENTXCO,-8.8076,-6.144,2.6636,17.08712,59.44,0.108496,0.64532
ENUREM,-4.8798,-2.3879,2.4919,2.87139,-16.48,0.150509,0.928569
ENUSAJ,-5.1528,-1.8336,3.3192,4.22337,38.69,-0.02685,0.851713
ENUSEN,-4.9873,-1.6917,3.2956,3.66917,38.82,-0.02024,0.803104
EPUTOB,-4.3587,-3.1237,1.235,6.18541,-36.68,0.203891,1.314995
EQACEF,1.7942,4.1218,2.3276,0.32442,-40.42,0.247083,0.641869
EQEFAI,-5.7111,-3.197,2.5141,2.82043,-52.09,0.305175,0.775468
EQEQAV,-4.8314,-2.5454,2.286,3.36746,25.14,0.162891,1.156055
EQIVIJ,-4.445,-1.6273,2.8177,0.26856,-64.85,0.247424,0.732224
EQIVOP,-4.8351,-1.9731,2.862,3.00E-05,-67.26,0.14422,0.496742
EQOQIK,-5.6272,-1.0269,4.6003,6.09314,134.8,0.031462,0.25901
ERIMEZ02,-1.637,-1.7527,-0.1157,0.00014,39.62,0.059663,2.674036
ERIPEB,-10.5346,-7.6991,2.8355,1.08697,-59.85,0.342403,0.98573
ERIQIG,1.54,3.6111,2.0711,0,18.22,-0.153566,1.254314
ERUXIZ,-11.8705,-8.4404,3.4301,0.7851,-27.21,0.1899,0.412667
ESIJEY,-12.0253,-8.6503,3.375,4.11337,95.46,0.005796,0.772186
ESUYUM,-14.5331,-13.8045,0.7286,0.46995,10.32,0.200363,2.0892
ETAKIT,0.2139,2.5578,2.3439,1.6333,-43.63,0.304499,0.903992
ETOHIF,-4.16,-2.272,1.888,18.90985,-19.72,0.221284,1.407215
EVACOT,-5.2765,-2.3902,2.8863,11.47599,30.58,-0.054873,0.877636
EVILOM,-5.6956,-3.3682,2.3274,12.61594,-30.01,0.304223,1.050712
EVOJEE,-11.8463,-7.6846,4.1617,1.24687,-49.64,0.284043,0.109788
EWABUA,-5.2646,-1.6703,3.5943,5.45835,70.58,-0.09653,0.934523
EWANAR,1.0996,3.0663,1.9667,1.00E-05,20.56,-0.131002,1.668232
EWOBEX,-4.3542,-3.1893,1.1649,6.61169,7.85,0.190804,2.352219
EWOBUP02,-7.8957,-5.5736,2.3221,7.75776,-15.31,0.132073,1.286248
EWUSEW,-8.8777,-5.9403,2.9374,0.91178,43.98,0.044009,0.940866
EXOCEA,-5.137,-2.1181,3.0189,15.0538,40.6,-0.086264,0.520018
EXOVIX,-6.5946,-3.1957,3.3989,11.76329,-41.23,0.296103,0.655632
EXUKEP,1.2815,3.5785,2.297,0,18.64,-0.147461,1.24582
EYAQEA,-20.5736,-15.4669,5.1067,0.00038,75.68,0.25545,0.149195
EYAYIN,-2.8414,0.3407,3.1821,1.00E-05,-20.22,0.371737,0.653042
EYEYEM,-5.2456,-2.3484,2.8972,14.75072,44.02,-0.02829,0.712375
EYIRUA,-4.158,-1.978,2.18,13.07883,-28.58,0.102684,1.035174
EYITAJ,-4.6981,-2.2502,2.4479,9.00795,-57.55,0.222044,0.843589
EYOZEY,-5.7166,-3.1319,2.5847,7.02485,-20.65,0.24319,0.891163
EZOYIC,1.0954,5.3607,4.2653,0.35278,-60.22,0.198072,0.100534
FAGKEE,-4.7751,-2.2801,2.495,11.12504,-35.31,0.029149,0.648083
FAHFUQ,-7.739,-4.0734,3.6656,11.99424,-51.67,0.257285,0.255583
FAJHUX,-5.6556,-2.3357,3.3199,7.25877,70.81,0.012122,0.728054
FAJMAF,1.2336,4.632,3.3984,4.70755,-41.99,0.166415,0.674567
FALPOA,-7.6057,-5.628,1.9777,13.14042,-49.29,0.247348,0.891799
FANFAD,-4.8175,-1.9817,2.8358,10.50134,-34.54,0.028209,0.926142
FAPSAT,-3.8383,-1.234,2.6043,1.82814,83.83,-0.204281,1.385077
FARZIH,-4.8428,-1.2713,3.5715,12.94832,-22.93,0.196884,0.390959
FASSEX,-6.6877,-2.0938,4.5939,0.04742,146.81,-0.197006,0.282053
FAVZUY,-5.2022,-1.8051,3.3971,8.49244,42.05,-0.09073,0.680991
FAWQEZ,-5.6308,-1.608,4.0228,9.2753,103.84,-0.028838,0.419331
FAYHIZ,-5.2607,-2.2802,2.9805,3.34091,-20.86,0.052647,0.662989
FAYHOF,-5.157,-2.5153,2.6417,3.1497,-32.06,0.052194,0.833619
FAYVAF,-4.8277,-2.3705,2.4572,11.63845,18.55,-0.090217,0.838155
FAZPEE,-4.4441,-1.8305,2.6136,1.00E-05,-30.74,0.011453,0.834414
FAZTEG,-5.3921,-1.539,3.8531,7.80885,109.98,-0.006815,0.503047
FAZTIK,-4.7596,-1.7634,2.9962,10.15254,109.09,0.025155,0.628637
FEBRAF,-12.0911,-8.9711,3.12,0.54632,-33.72,0.085346,0.580441
FEGVOE,-5.1797,-2.8673,2.3124,8.00E-05,-38.33,0.324927,0.843609
FEGVUJ,-8.7998,-5.9818,2.818,4.41898,42.33,0.114302,0.656544
FEHKUZ,-4.7566,-1.3919,3.3647,8.64249,105.29,0.026065,0.529829
FEHLIO,-4.7797,-1.0286,3.7511,8.58639,105.6,0.008197,0.536102
FEHNOV,-5.5526,-2.9211,2.6315,5.65877,36.5,0.002321,1.02927
FEKPUG,-7.7317,-3.9243,3.8074,0.7966,100.8,-0.183078,0.934798
FENLEP,-8.9839,-5.1386,3.8453,1.86631,92.02,0.021037,0.548341
FERBEK,-4.1299,-1.9678,2.1621,1.93524,71.3,-0.124986,0.994352
FERWEH,-4.2146,-2.8162,1.3984,16.65412,-13.3,0.159624,1.477696
FESXOQ,-4.3041,-2.4254,1.8787,6.8366,-48.88,0.253631,1.232412
FEVFET,-4.3815,-2.6496,1.7319,5.22535,-37.48,0.22105,1.32994
FEVNAW,-5.9493,-2.8538,3.0955,5.84223,27.38,0.221233,0.725859
FEWFUI,-9.8729,-7.1275,2.7454,0.07669,78.17,0.132165,0.732516
FEWGIX,-9.8914,-6.2937,3.5977,0.25019,-20.71,0.272932,0.389205
FEWMEA,-8.1721,-5.4537,2.7184,3.53348,-26.15,0.333461,0.770014
FEWRIK,-7.1995,-4.8804,2.3191,8.42631,-24.74,0.170461,1.273137
FEWVEL,-4.057,-0.7987,3.2583,6.12362,33.01,-0.134559,0.454818
FEWYAK,-6.1667,-3.572,2.5947,0.5892,-22.57,-0.060898,0.827585
FEWYIS,-3.4485,-1.0292,2.4193,8.46714,46.23,-0.046317,1.343303
FEXROR,-5.464,-3.642,1.822,0.21507,-34.34,0.070401,2.333213
FEXTUY,-4.4264,-1.4613,2.9651,17.98408,-32.83,0.070646,0.649911
FEYMIG,-4.2874,-1.519,2.7684,3.00E-05,40.95,0.089569,0.917045
FEZTEM,-7.0756,-4.8952,2.1804,6.50731,-39.55,0.222502,0.677845
FEZXUD,-9.4597,-4.999,4.4607,9.2868,-43.5,0.33296,0.139111
FIDZEY,-5.5427,-2.4588,3.0839,15.14164,-19.59,0.184996,0.521895
FIFDUU,-5.5484,-3.1651,2.3833,9.81906,-26.79,0.065634,0.841899
FIGMEQ,-8.537,-4.6337,3.9033,0.00886,-38.11,0.04035,0.395222
FIHFIO,-5.6163,-3.4222,2.1941,2.28428,-27.11,0.410465,0.92571
FIKXEF,-1.9547,1.5969,3.5516,15.38594,-22.34,0.127947,0.596474
FILSEY,-3.5226,-1.1296,2.393,3.68202,27.54,-0.047508,0.780217
FIMPIB,-1.542,1.3239,2.8659,5.21623,59.64,-0.132147,1.426834
FIMPOH,-4.6613,-2.7103,1.951,4.97302,45.3,-0.035078,1.855579
FIPWEG,-5.3634,-1.3566,4.0068,4.24783,107.73,-0.04142,0.311857
FISGAS,-7.6819,-5.5187,2.1632,9.14238,-25.71,0.133649,0.551564
FIWLEE,-4.5167,-0.8628,3.6539,10.07394,39.46,0.006549,0.431423
FIYFEB,-1.0965,1.8959,2.9924,0.42497,-54.99,0.240069,0.631397
FIYMOP,-8.7033,-4.7087,3.9946,1.84614,59.95,-0.156243,0.264689
FIZQIP,-8.4398,-5.9662,2.4736,2.22173,-41.55,0.298944,0.829679
FOCSOF,-5.4779,-2.4258,3.0521,5.26873,-59.39,0.135102,0.589212
FOGQOI,-5.2363,-2.8234,2.4129,11.53393,-33.74,0.075194,1.318433
FOKYEJ,-5.4159,-1.0193,4.3966,6.23803,141.28,-0.066389,0.346239
FOMPUU,-4.5085,-3.4878,1.0207,23.94273,-34.18,0.12838,1.242648
FOMQAB,-4.5534,-3.5443,1.0091,23.87436,-19.13,0.107258,1.370953
FONPUT,-4.5469,-1.4904,3.0565,6.50967,135.11,-0.145561,0.682554
FOPJEB,-13.6133,-9.2814,4.3319,0,-46.23,0.190848,0.105507
FOQBOC,-0.6232,1.1769,1.8001,9.42223,-17.93,0.20892,1.918492
FOQNOP,-7.4228,-2.6428,4.78,0,175.48,-0.085778,0.249306
FOSKEF,-7.4407,-4.7518,2.6889,9.41609,-37.62,0.264982,0.858546
FOSVIS,-4.1366,-0.744,3.3926,9.92777,-40.41,0.059736,0.573431
FOTSIR,-5.4388,-3.1601,2.2787,4.77925,-16.67,0.249389,0.716975
FOTZET,-4.586,-0.2488,4.3372,2.11974,94.27,-0.03936,0.341791
FOXCOM,-4.458,-2.6561,1.8019,19.3707,-16.4,0.203553,1.198458
FOXGAB,-4.987,-2.9338,2.0532,8.57084,-61.37,0.340317,0.93425
FUMKIH,-4.5871,-2.0329,2.5542,14.35638,-38.72,0.031106,0.927446
FUNHUS,-2.187,0.2448,2.4318,1.93451,-34.6,0.174086,1.048664
FUQCUR,-8.9792,-5.5074,3.4718,10.47727,68.41,0.091656,0.572762
FURBIF,-3.55,-3.3615,0.1885,25.09724,-17.59,0.196339,1.353984
FURPEO,1.3372,2.9187,1.5815,0.74765,38.73,0.054171,2.422663
FURROZ,-6.2121,-1.1498,5.0623,2.79525,152.35,-0.003255,0.191662
FUWVOJ,-4.9396,-3.215,1.7246,11.1213,-45.24,0.287466,0.806147
FUYTEA,-4.933,-3.1232,1.8098,3.36074,-7.85,0.105523,1.455005
FUYTOK,-0.6572,1.1734,1.8306,7.30342,-8.34,-0.064216,1.425188
FUYYAB,-5.5673,-2.39,3.1773,7.59105,66.34,-0.001619,0.591998
GADMEH,-1.6752,1.2467,2.9219,16.45915,-11.56,0.176773,0.716101
GADMOR,-0.7911,2.0677,2.8588,8.41446,-24.88,0.198532,0.65159
GADTIS,-5.2921,-3.3,1.9921,6.64002,-28.96,0.360862,1.0258
GAGVUG,-5.1078,-2.2641,2.8437,0.21997,-30.91,0.369635,0.577014
GAHJEG,-8.014,-4.058,3.956,4.03435,67.89,-0.174119,0.403737
GAMQEQ,-5.0883,-1.444,3.6443,9.50746,154.9,-0.131236,0.412761
GAMZAW,-3.9353,-1.4808,2.4545,0.26801,11.88,0.022265,0.866158
GAMZEA,-3.9895,-1.3452,2.6443,1.00E-05,6.23,0.008618,1.056992
GAMZIE,-4.362,-1.8333,2.5287,6.95069,-46.79,0.07987,0.91651
GAMZOK,-4.6393,-2.1668,2.4725,7.77885,-49.6,0.089492,1.179236
GAPZEC,-8.5147,-5.3392,3.1755,0.01498,47.45,0.149007,0.438119
GARQIB,-4.0798,-2.8001,1.2797,9.19746,-50.82,0.264443,0.927927
GAVNEX,-5.652,-3.3815,2.2705,9.93453,-19.96,0.344791,0.947268
GAVXAC,-8.1276,-5.4921,2.6355,0.81674,76.12,-0.012686,1.013999
GAWNAU,-4.8418,-1.2679,3.5739,3.65574,37.22,-0.019591,0.429907
GAXYOW,-4.9675,-2.7244,2.2431,4.7934,-17.41,0.157023,1.094573
GAXZEN,-4.793,-2.0514,2.7416,3.49165,-56.97,0.229452,0.795913
GAYXEJ,-2.0828,1.9255,4.0083,7.64933,-79.65,0.184788,0.32539
GAYZEL,-4.8246,-2.5675,2.2571,1.00E-05,-19.55,0.210229,1.198694
GAZHAQ,-8.5311,-5.0081,3.523,3.16565,70.49,5.70E-05,0.401529
GEDFIE,-11.6005,-6.845,4.7555,1.00E-05,90.4,-0.085398,0.254723
GEDJEE,-6.2362,-2.8547,3.3815,3.89721,-40.97,0.199575,0.3719
GEFTIV,-4.7569,-2.1348,2.6221,6.58912,-39.98,0.137593,1.112341
GEFZEX,-7.8727,-5.4944,2.3783,10.07844,50.02,-0.07168,0.984589
GEGBUQ,-4.3429,-1.7599,2.583,5.01667,-16.85,0.189808,0.842882
GELBII,-5.947,-2.1413,3.8057,2.68837,43.63,-0.000474,0.413555
GELRIY,-4.9545,-1.388,3.5665,5.00673,107.72,-0.092597,0.860622
GEMZON,-8.9897,-4.649,4.3407,6.36535,160.77,-0.020674,0.521442
GENBUW,-4.6483,-1.482,3.1663,7.18763,130.74,-0.050652,0.703491
GENQAS,-5.6322,-3.5621,2.0701,1.74018,-7.04,0.263689,0.743978
GENYOP,-4.6973,-2.0085,2.6888,0.85451,31.11,-0.082232,0.939721
GEPBEJ,-4.4276,-2.7611,1.6665,14.10231,-44.6,0.175631,0.858539
GEPPEX,-4.4177,-2.2194,2.1983,4.70761,7.26,0.235802,1.109874
GEPVEF,-5.5031,-3.3591,2.144,1.46341,-12.72,0.10118,1.336674
GEQZUY,-5.9517,-2.4872,3.4645,12.3609,-42.13,0.111903,0.633447
GESMUM,-8.6876,-4.943,3.7446,4.15439,43.86,0.027551,0.344109
GESNAT,-5.2297,-1.7672,3.4625,4.28813,42.17,-0.021502,0.506984
GEWNAX,-17.0882,-13.4171,3.6711,11.00253,66.13,0.026243,0.563837
GEZGEA,-5.3248,-2.9527,2.3721,11.49414,-21.89,0.040123,0.783248
GEZGIE,-5.2844,-2.9216,2.3628,9.87316,-22.13,0.042888,0.775454
GIBGON,-5.1732,-2.3288,2.8444,7.7525,-17.86,0.167865,0.655765
GICZIB,-9.3269,-6.8231,2.5038,13.23324,64.67,0.170485,1.248076
GIDKAH,-5.5081,-2.6755,2.8326,12.12558,-41.25,0.22497,0.868764
GIFFOS,-1.623,0.7429,2.3659,11.63391,-35.75,0.076217,0.892358
GIFJEM,-4.8014,-0.9185,3.8829,1.00E-05,-67.37,0.262021,0.200938
GIGGUZ,-4.8421,-3.2948,1.5473,14.50107,-25.32,0.154933,1.202533
GILZIK,-4.825,-2.6005,2.2245,16.01664,27.8,-0.166871,1.856226
GINSUS,-4.1204,-1.1139,3.0065,1.01677,57.92,-0.131371,0.71427
GISLUQ,-9.3483,-4.8866,4.4617,3.57008,110.01,-0.04084,0.230123
GISVAF,-4.1095,-2.7653,1.3442,23.66181,-21.71,0.131602,1.091428
GITHEY,-4.8423,-2.8278,2.0145,3.18339,2.87,0.288372,1.567439
GITYOY,-4.8068,-2.4247,2.3821,11.79117,-24.86,0.107454,0.527746
GIXYIV,-4.41,-0.9208,3.4892,5.90957,117.27,-0.125911,0.529549
GIYGUT,-5.8754,-3.1308,2.7446,6.69984,-22.24,0.257918,1.117653
GOCDEH,-4.517,-1.4396,3.0774,1.00E-05,34.86,-0.164688,0.756268
GOFXIK,2.9191,5.3776,2.4585,4.24442,-49.98,0.022396,1.04299
GOHDEN,-1.9539,-0.1437,1.8102,6.31948,27.7,0.001051,1.928925
GOJFIU,-4.7775,-1.6199,3.1576,5.7161,61.7,-0.002976,0.632194
GOJVAC,-5.8166,-2.0195,3.7971,7.0255,124.4,-0.029426,0.407488
GOJZIP,-0.9925,1.4374,2.4299,22.93621,69.84,-0.013829,0.907865
GOKREF,-7.5721,-4.1987,3.3734,12.05034,-62.05,0.304729,0.514656
GONTIM,-5.8239,-1.6857,4.1382,8.03424,108.73,-0.015053,0.369512
GOQYUG,-5.1937,-2.4106,2.7831,0.39725,24.07,-0.088762,0.786511
GOQZIX,-3.9039,-2.1992,1.7047,19.50269,-50.64,0.179129,0.544972
GORWIT,-1.8206,1.3756,3.1962,8.40479,-36.98,0.0929,1.03364
GOVDOK,-5.1897,-1.2427,3.947,3.17032,-62.35,0.272907,0.81285
GOXBAW,-4.1498,-2.1073,2.0425,20.84897,-37.26,0.102389,0.766871
GOXBOK,-5.1233,-2.254,2.8693,4.83808,27.38,-0.112768,0.921744
GOXXEW,-4.597,-2.1518,2.4452,15.27093,-59.64,0.202193,0.5976
GUCBAJ,-4.9119,-2.9425,1.9694,5.23118,-39.17,0.225453,1.34572
GUGCUI,-4.7902,-1.7192,3.071,1.70668,-21.3,0.137359,0.644549
GUGYIS,-2.3449,-1.2972,1.0477,26.24365,-22.85,0.388372,1.897793
GULWUH,-5.339,-2.4615,2.8775,5.23772,-42.17,0.337205,0.984662
GUQYOH,-4.8149,-2.9513,1.8636,5.49155,-17.86,0.361859,1.100412
GUSCOP,-7.4948,-4.353,3.1418,3.59789,54.29,0.077995,0.789182
GUSJAI,-4.2213,0.208,4.4293,4.66587,65.18,-0.069432,0.296568
GUTXEB,-7.4664,-5.1595,2.3069,4.26804,73.05,-0.103182,0.917468
GUTXOL,-7.9548,-5.6451,2.3097,6.55826,62.33,0.022456,1.689861
GUTYAY,-4.1815,-2.4044,1.7771,6.99047,50.56,-0.071912,1.439223
GUVZIH,-4.7001,-1.8718,2.8283,4.55048,33.85,-0.017911,1.424439
GUWWAW,-5.4275,-3.0182,2.4093,10.38748,-28.56,0.175553,1.079904
GUZCUZ,-5.0378,-2.3389,2.6989,3.59423,4,0.208125,0.78209
GUZTIH,-4.6206,-2.0895,2.5311,4.92655,-6.51,0.230465,0.753502
HABRAG,-5.198,-2.1597,3.0383,7.19712,-28.46,0.125149,0.564114
HAFQUB,-4.9999,-0.7174,4.2825,1.19004,80.34,0.025504,0.344701
HAFRAI,-9.7046,-6.8627,2.8419,1.00763,82.76,0.111511,0.628505
HAGHOO,-3.3054,0.0411,3.3465,0.73995,-60.1,0.043997,0.519824
HAHHII,-4.7011,-1.8538,2.8473,4.66218,23.5,-0.032887,0.801492
HAHXOE,-4.8798,-3.2496,1.6302,12.01466,-63.04,0.177054,1.011551
HAHYAR,-4.8599,-3.2368,1.6231,12.53563,-53.18,0.18484,1.141994
