refcode,total_charge,multiplicity,n_atoms,n_elecs,HOMO,LUMO,gap,dipole_moment_Debye,Dispersion_E,Metal_q,Polarizability
EWOKIM,0,1,81,446,-0.15304,-0.06096,0.09208,8.3287,-0.202967,-0.15558,591.319412
EWOKOS,0,1,87,442,-0.16378,-0.06122,0.10256,9.8838,-0.214881,-0.17099,597.264276
EXEPOO,0,1,66,414,-0.21598,-0.09409,0.12189,11.4182,-0.146998,0.4446,445.191467
EXIQEH,0,1,57,296,-0.15423,-0.09961,0.05462,11.7825,-0.097642,0.18337,351.019713
EXIQOR,0,1,81,360,-0.15377,-0.09913,0.05464,12.103,-0.125307,0.18164,444.380884
EYEBOA,0,1,98,502,-0.16468,-0.05181,0.11287,7.4401,-0.253129,-0.83735,671.995122
EYIXEQ,0,1,54,274,-0.18823,-0.07705,0.11118,1.492,-0.09466,1.17773,324.353743
EZALOG,0,1,40,280,-0.19677,-0.12931,0.06746,7.4595,-0.090325,-0.78213,325.943837
EZODUT,0,1,57,336,-0.18377,-0.10499,0.07878,10.9695,-0.139293,-0.2043,397.615853
EZOFAB,0,1,83,412,-0.17724,-0.09754,0.0797,11.2162,-0.187253,-0.05972,511.311614
EZUWOL,0,1,97,364,-0.17707,-0.08128,0.09579,5.235,-0.179461,1.17871,500.175178
FAFGIE,0,1,83,364,-0.19409,-0.08792,0.10617,2.3308,-0.158021,1.19695,485.92469
FAFJOO,0,1,123,548,-0.18465,-0.08697,0.09768,0.0464,-0.237767,-0.16179,724.171977
FAMQUI,0,1,70,280,-0.16958,-0.05268,0.1169,7.2801,-0.155843,0.24297,400.06953
FAMRAP,0,1,90,350,-0.14488,-0.05653,0.08835,9.6732,-0.201013,0.44704,518.096465
FAMRET,0,1,69,280,-0.16326,-0.05583,0.10743,8.1721,-0.157219,0.25699,398.725089
FAMRUJ,0,1,114,414,-0.14246,-0.0572,0.08526,9.7631,-0.240609,0.43036,611.054773
FAMSAQ,0,1,90,454,-0.1585,-0.06447,0.09403,13.8762,-0.210933,0.43002,578.530551
FAMSIY,0,1,89,350,-0.14061,-0.06154,0.07907,10.7087,-0.205209,0.39924,516.602733
FAMYID,0,1,59,294,-0.19715,-0.11709,0.08006,11.2034,-0.129962,-0.10511,392.049462
FAMYOJ,0,1,54,304,-0.18424,-0.11039,0.07385,10.7553,-0.130313,-0.10711,392.790583
FAPCAC,0,1,73,326,-0.18006,-0.08959,0.09047,0.2752,-0.144317,1.26466,464.84798
FAPRIA,0,1,48,282,-0.17969,-0.07798,0.10171,0.8075,-0.089309,0.5481,326.220474
FAPROG,0,1,51,314,-0.18612,-0.08382,0.1023,2.466,-0.095039,0.5596,341.22928
FAPSEV,1,1,80,360,-0.30174,-0.17383,0.12791,5.15,-0.182448,-0.30007,483.225984
FAPSOF,0,1,53,256,-0.16807,-0.08927,0.0788,7.9816,-0.10255,-0.12896,306.786411
FAPSUL,1,1,68,328,-0.30851,-0.18235,0.12616,6.3204,-0.159637,-0.33297,437.007558
FAQQUM,0,1,41,258,-0.18491,-0.0818,0.10311,11.3443,-0.077378,0.37738,287.380017
FAQRAT,1,1,51,282,-0.30689,-0.18962,0.11727,3.5172,-0.094766,0.51861,331.254326
FAQREX,0,1,53,294,-0.16676,-0.08455,0.08221,11.6266,-0.095693,0.43452,356.323941
FARZIK,0,1,125,492,-0.17277,-0.10255,0.07022,0.4711,-0.249995,0.77598,717.658742
FASCUA,0,1,89,398,-0.17335,-0.10199,0.07136,0.0004,-0.177368,1.28934,573.42571
FATCEJ,-1,1,49,328,-0.08588,-0.00741,0.07847,0.0117,-0.106348,0.28023,400.769739
FAVXOS,0,1,72,378,-0.17534,-0.08554,0.0898,4.688,-0.166523,0.40896,484.476827
FAWFIT,0,1,31,236,-0.19108,-0.11397,0.07711,8.3443,-0.066136,-0.78513,255.593542
FAWYIM,0,1,35,196,-0.20371,-0.02122,0.18249,9.7857,-0.056556,0.13478,189.497188
FAXPUQ,1,1,33,220,-0.33272,-0.22416,0.10856,10.9553,-0.061073,-0.67966,249.061144
FEBGOJ,0,1,46,248,-0.20625,-0.10993,0.09632,10.3143,-0.090887,0.94903,303.791135
FEBGUP,0,1,52,264,-0.20862,-0.10756,0.10106,10.0632,-0.104547,0.96033,326.803317
FEBHAW,0,1,82,344,-0.21275,-0.10881,0.10394,9.7911,-0.166799,0.96959,443.219443
FEBHEA,0,1,58,280,-0.21025,-0.10932,0.10093,10.7278,-0.118144,0.964,349.920989
FEBRUZ,0,1,33,190,-0.19614,-0.06845,0.12769,14.1232,-0.065094,-0.24732,229.914267
FECTEP,0,1,40,300,-0.17727,-0.11064,0.06663,9.6171,-0.092626,-0.75723,348.428459
FECTIT,0,1,38,302,-0.17766,-0.11134,0.06632,9.2486,-0.0918,-0.75805,350.227402
FECTUF,0,1,42,308,-0.18438,-0.11457,0.06981,9.8253,-0.092872,-0.80193,357.604026
FECVAN,0,1,42,302,-0.18492,-0.10957,0.07535,10.0632,-0.095327,-0.80331,351.242901
FECVER,0,1,57,362,-0.18265,-0.10595,0.0767,11.584,-0.124509,-0.80251,442.811552
FEDDAV,1,1,74,414,-0.29763,-0.20461,0.09302,10.0764,-0.171468,0.36577,481.245656
FEDDEZ,1,1,78,394,-0.27866,-0.19432,0.08434,7.3176,-0.186152,0.3683,505.137695
FEDXIX,0,1,81,434,-0.1938,-0.13049,0.06331,14.4283,-0.137019,0.42718,511.933141
FEGJOR,0,1,55,260,-0.18942,-0.03911,0.15031,0.0131,-0.102442,-0.18434,312.033797
FEGVIX,0,1,53,286,-0.19355,-0.12577,0.06778,11.9022,-0.106034,0.33276,359.818972
FEGVOD,0,1,81,350,-0.2038,-0.13473,0.06907,11.9574,-0.176808,0.29729,465.738119
FEHKAG,0,1,70,428,-0.18537,-0.08015,0.10522,0.4612,-0.177626,0.24608,517.816347
FEJBIF,0,1,32,220,-0.21495,-0.08429,0.13066,5.9005,-0.063812,-1.07845,253.229285
FEKLAJ,0,1,84,420,-0.19169,-0.11035,0.08134,6.0789,-0.178384,1.27097,539.496592
FEKYUQ,0,1,79,372,-0.18284,-0.10747,0.07537,1.1635,-0.172306,1.26485,533.706537
FELGEL,0,1,69,366,-0.16171,-0.08018,0.08153,3.0906,-0.172278,0.02737,478.715938
FELGIP,0,1,68,366,-0.16576,-0.07301,0.09275,1.9025,-0.170489,0.07567,474.282828
FELLAL,1,1,91,404,-0.28177,-0.26714,0.01463,6.7601,-0.227741,0.38712,601.455616
FEMQET,0,1,91,356,-0.18848,-0.03351,0.15497,0.0096,-0.159792,-0.20004,451.965823
FEMWIE,1,1,61,328,-0.30326,-0.20569,0.09757,9.2458,-0.108203,-0.67699,419.267046
FEMZIJ,0,1,89,476,-0.16555,-0.10715,0.0584,0.0041,-0.214432,1.08692,570.16665
FEMZUV,0,1,157,766,-0.14088,-0.04749,0.09339,0.0647,-0.441429,-1.61204,1106.091796
FEPXEG,0,1,75,476,-0.18808,-0.08262,0.10546,3.9272,-0.160218,0.46791,493.5016
FEQYUY,0,1,129,618,-0.1906,-0.12572,0.06488,6.2238,-0.304332,-0.94355,841.114305
FERKOE,0,1,49,266,-0.16804,-0.06742,0.10062,3.5167,-0.087887,0.63521,285.598661
FERMAS,0,1,43,238,-0.19064,-0.08475,0.10589,11.3109,-0.073826,0.17739,245.104513
FERMEW,0,1,45,232,-0.16411,-0.01162,0.15249,8.8459,-0.074218,0.16349,247.790456
FERMIA,0,1,41,216,-0.17847,-0.02099,0.15748,8.8795,-0.076033,0.14215,231.35874
FERMOG,0,1,41,216,-0.17515,-0.01982,0.15533,9.5388,-0.069441,0.16685,231.350394
FESDAL,0,1,55,292,-0.17215,-0.06314,0.10901,2.1644,-0.110968,0.47242,348.020637
FESFAN,0,1,54,334,-0.19635,-0.07901,0.11734,6.0148,-0.119814,0.44066,361.75281
FESFER,0,1,67,372,-0.17689,-0.07377,0.10312,4.1886,-0.14928,0.44044,417.421282
FESFIV,0,1,67,372,-0.17763,-0.07426,0.10337,4.5774,-0.147655,0.43558,417.327477
FESFOB,0,1,67,372,-0.17762,-0.07421,0.10341,4.5637,-0.147676,0.43563,417.326815
FESFUH,0,1,67,372,-0.177,-0.07353,0.10347,4.311,-0.150565,0.43973,417.405012
FETROO,-1,1,26,188,-0.0766,0.06765,0.14425,13.4382,-0.047452,0.07628,192.699048
FEVYEL,0,1,47,306,-0.1853,-0.13678,0.04852,20.7443,-0.09308,0.18392,326.854533
FEWYUC,0,1,97,442,-0.16911,-0.0572,0.11191,1.3709,-0.181127,-1.02102,596.232824
FEYFIB,0,1,51,284,-0.20025,-0.0703,0.12995,8.828,-0.098462,0.17183,321.750539
FEYJAW,0,1,45,252,-0.1913,-0.07906,0.11224,3.382,-0.076906,0.57685,286.827189
FEYQAE,0,1,65,358,-0.17095,-0.12023,0.05072,10.5149,-0.149147,0.60488,442.997509
FEYTEK,0,1,77,388,-0.20325,-0.07291,0.13034,7.8193,-0.147175,0.47873,433.702936
FIBXIY,0,1,17,148,-0.20539,-0.02651,0.17888,10.2832,-0.023062,0.17631,120.089539
FIBXOE,0,1,37,218,-0.15375,-0.03694,0.11681,12.1963,-0.060659,0.33405,238.116728
FIDKAH,1,1,113,514,-0.2838,-0.13878,0.14502,0.4089,-0.306881,0.2052,765.067675
FIDNUB,0,1,113,474,-0.17015,-0.08103,0.08912,0.0006,-0.228136,1.26088,653.406299
FIFJUA,0,1,45,266,-0.18436,-0.12751,0.05685,6.9611,-0.078177,0.42703,313.797182
FIFKAH,0,1,51,330,-0.20294,-0.13842,0.06452,12.0252,-0.087397,0.42736,343.772064
FIFNIU,0,1,62,328,-0.17212,-0.07177,0.10035,1.2385,-0.139515,0.26217,408.386732
FIFNOA,0,1,59,328,-0.18727,-0.08016,0.10711,4.783,-0.133716,0.24185,397.791427
FIFNUG,1,1,61,318,-0.30811,-0.17597,0.13214,5.9945,-0.135156,0.22291,401.344133
FIHWAW,0,1,65,386,-0.16722,-0.09686,0.07036,8.2348,-0.1679,1.20915,467.428161
FILBAE,0,1,129,606,-0.16382,-0.08864,0.07518,8.9481,-0.364833,-1.42247,877.648193
FILDUB,0,1,59,344,-0.16328,-0.0768,0.08648,10.4308,-0.129906,-1.17385,395.107058
FILFIR,0,1,36,268,-0.18357,-0.08881,0.09476,9.3686,-0.076999,-0.97861,294.504248
FILHIS,0,1,119,496,-0.20056,-0.08359,0.11697,0.017,-0.233293,-0.18671,622.230643
FILLUJ,0,1,36,250,-0.18306,-0.08737,0.09569,9.1023,-0.075812,-0.93809,287.714008
FINCUB,0,1,173,766,-0.19106,-0.09396,0.0971,0.0001,-0.371066,1.27391,1125.95239
FIQCOY,0,1,34,224,-0.19258,-0.10191,0.09067,7.9282,-0.066009,0.39607,242.18883
FITTAE,0,1,42,242,-0.1604,-0.09053,0.06987,4.2493,-0.094253,-0.29949,290.146527
FIWLII,1,1,37,166,-0.34376,-0.14794,0.19582,0.0003,-0.05125,0.43203,198.22494
FOCFAG,0,1,48,328,-0.19453,-0.11552,0.07901,8.4465,-0.099906,-0.81805,355.337015
FOCFEK,0,1,41,264,-0.18364,-0.10158,0.08206,8.9185,-0.087793,-0.81833,320.699617
FOCFOU,0,1,45,286,-0.18429,-0.11797,0.06632,10.8582,-0.087219,-0.81791,343.17258
FODDOU,0,1,77,462,-0.20062,-0.09029,0.11033,7.7144,-0.16486,0.1026,471.814874
FOFXUW,0,1,74,378,-0.19712,-0.0923,0.10482,0.7604,-0.143182,0.60015,429.526077
FOFYAD,0,1,74,378,-0.1971,-0.09278,0.10432,0.8057,-0.142972,0.60133,429.503539
FOGGEP,0,1,73,284,-0.17869,-0.08686,0.09183,1.1455,-0.13008,0.75531,398.454282
FOKDAM,1,1,53,254,-0.32573,-0.174,0.15173,1.7403,-0.117159,0.42288,325.726668
FOKDER,0,1,86,418,-0.19904,-0.10256,0.09648,1.3623,-0.166538,0.63547,535.761697
FOKDIV,0,1,86,450,-0.20116,-0.10181,0.09935,1.292,-0.168294,0.67068,536.794126
FOKDOB,0,1,80,374,-0.19337,-0.09899,0.09438,2.5447,-0.161279,0.63135,499.373377
FOLCUG,0,1,133,644,-0.19103,-0.08394,0.10709,9.5238,-0.245541,0.45401,716.354943
FOLGUL,1,1,81,388,-0.27053,-0.15335,0.11718,7.206,-0.195865,0.12178,488.385615
FONLIF,0,1,69,388,-0.17539,-0.0979,0.07749,11.2663,-0.135362,0.39952,447.915417
FOPKOM,1,1,96,402,-0.28038,-0.17803,0.10235,5.2973,-0.225141,0.30768,576.088401
FOPNEG,0,1,46,298,-0.21492,-0.0863,0.12862,8.814,-0.103976,0.51404,320.566254
FOPNIK,1,1,59,330,-0.31999,-0.19122,0.12877,8.4311,-0.127924,0.63674,376.290713
FOPSOT,0,1,52,322,-0.17764,-0.06727,0.11037,3.6889,-0.115449,0.27178,353.351528
FOQGEX,0,1,71,356,-0.17975,-0.08806,0.09169,10.2622,-0.161244,0.33183,485.443732
FOQGOH,0,1,71,358,-0.20366,-0.08525,0.11841,9.7329,-0.136027,0.8998,480.341117
FOQHID,1,1,100,456,-0.26659,-0.15682,0.10977,5.2584,-0.260359,-0.17157,670.759001
FORGOL,0,1,60,318,-0.16629,-0.06136,0.10493,6.5889,-0.119506,0.37648,380.894716
FORGUR,0,1,51,294,-0.17082,-0.06286,0.10796,6.4631,-0.104237,0.38842,346.388633
FORNIL,0,1,42,218,-0.20944,-0.11415,0.09529,7.2869,-0.07986,-1.16664,272.589688
FORNOR,0,1,45,224,-0.20551,-0.09409,0.11142,3.8163,-0.080916,-0.92909,290.163818
FOSTEM,0,1,173,650,-0.18936,-0.18387,0.00549,2.6666,-0.328516,0.64209,894.759111
FOSWOA,0,1,45,264,-0.20099,-0.09331,0.10768,4.7067,-0.080394,0.58943,294.765128
FOSWUG,0,1,75,396,-0.18893,-0.0912,0.09773,5.7057,-0.156366,0.48422,489.057314
FOTBAT,1,1,57,296,-0.2851,-0.17463,0.11047,7.6517,-0.123591,0.37931,360.808693
FOVYUM,1,1,66,292,-0.28257,-0.17311,0.10946,6.6255,-0.140707,0.43506,417.234684
FOWGIJ,1,1,78,324,-0.26956,-0.16627,0.10329,6.376,-0.162763,0.46078,463.12087
FOXDAX,0,1,44,162,-0.15203,-0.03481,0.11722,4.9581,-0.071985,-0.23767,205.684587
FOZFAC,0,1,85,436,-0.17014,-0.0977,0.07244,5.2541,-0.216921,0.198,572.811926
FOZXUP,1,1,83,378,-0.28731,-0.14674,0.14057,3.248,-0.17399,0.45711,501.626607
FOZYAW,1,1,83,346,-0.28748,-0.14103,0.14645,2.0311,-0.153113,0.43309,455.213294
FUDSON,0,1,69,388,-0.18944,-0.07544,0.114,4.6757,-0.143999,0.48095,451.651611
FUGBAM,1,1,120,512,-0.26789,-0.16823,0.09966,4.8746,-0.292675,0.3439,752.060902
FUHRIL,1,1,101,428,-0.27296,-0.17029,0.10267,0.3629,-0.223328,0.2429,638.622985
FULBAR,0,1,105,438,-0.164,-0.09846,0.06554,12.8685,-0.241653,-0.66968,630.500877
FULBIZ,0,1,97,428,-0.16329,-0.04906,0.11423,7.8143,-0.228489,-0.66051,566.142956
FULTAJ,1,1,57,246,-0.33077,-0.15967,0.1711,0.6465,-0.092981,0.43329,323.166668
FUMZEU,0,1,79,382,-0.19888,-0.07652,0.12236,2.5928,-0.149754,1.2991,479.53438
FUNCIC,0,1,66,342,-0.15186,-0.09082,0.06104,10.4632,-0.15806,0.28884,462.723593
FUNCOI,1,1,99,426,-0.27878,-0.17799,0.10079,3.6828,-0.243721,0.27389,643.039011
FUPQIQ,0,1,69,368,-0.1957,-0.10496,0.09074,12.0877,-0.17352,1.19596,456.290618
FUPQOW,0,1,38,234,-0.22479,-0.09466,0.13013,1.397,-0.065737,1.15287,244.30917
FUSTEU,0,1,55,330,-0.19673,-0.1144,0.08233,2.6679,-0.111966,0.51113,386.662997
FUSTIY,0,1,49,286,-0.1935,-0.10438,0.08912,1.6806,-0.093704,0.5493,339.510577
FUSTOE,0,1,61,318,-0.18684,-0.10351,0.08333,1.394,-0.112069,0.54839,386.006671
FUVXAX,0,1,33,198,-0.2195,-0.09012,0.12938,11.0011,-0.058182,0.18093,216.17
FUWRUM,1,1,48,286,-0.31257,-0.21854,0.09403,9.7926,-0.096922,-0.62895,348.825205
FUXGAI,0,1,71,348,-0.18966,-0.10012,0.08954,6.8352,-0.113904,1.07703,407.439241
FUXGIQ,0,1,59,312,-0.20172,-0.10445,0.09727,10.3219,-0.101131,1.07875,373.355484
GABLAZ,1,1,98,432,-0.26831,-0.17071,0.0976,3.6642,-0.258928,0.37473,642.718272
GABMEE,1,1,105,454,-0.27109,-0.17377,0.09732,4.0875,-0.27329,0.3434,672.302672
GABSOT,0,1,125,540,-0.1533,-0.05884,0.09446,0.009,-0.231254,0.7937,707.889557
GABTUB,1,1,98,422,-0.27535,-0.17744,0.09791,4.7814,-0.24259,0.30752,621.176977
GABVAJ,1,1,101,430,-0.27475,-0.17129,0.10346,3.6283,-0.254384,0.32243,632.568194
GABVEN,1,1,94,408,-0.27473,-0.17402,0.10071,3.5259,-0.237187,0.29914,603.188372
GABWAK,1,1,101,430,-0.27509,-0.17722,0.09787,4.6235,-0.251217,0.31833,632.889736
GADFUO,0,1,51,252,-0.17366,-0.09634,0.07732,4.9851,-0.115992,0.89374,353.268526
GAFYAO,0,1,29,220,-0.26111,-0.21267,0.04844,0.0044,-0.069619,-0.05745,283.898959
GAJSEQ,1,1,149,686,-0.2689,-0.1272,0.1417,0.4585,-0.437635,-0.18451,958.516547
GAKDUT,1,1,49,294,-0.31208,-0.21996,0.09212,8.9448,-0.095188,-0.63429,354.140352
GANFEI,0,1,78,488,-0.18601,-0.10836,0.07765,11.506,-0.180852,-0.79512,599.964463
GANYAX,0,1,44,256,-0.18475,-0.08896,0.09579,8.8225,-0.085386,0.75476,305.778468
GAPJAI,0,1,173,606,-0.17479,-0.08685,0.08794,0.0623,-0.273697,1.26369,877.203784
GAQSEZ,0,1,93,460,-0.1817,-0.05159,0.13011,0.0044,-0.220109,-0.18014,629.102329
GAQXEE,0,1,111,480,-0.1824,-0.10309,0.07931,1.7203,-0.227641,-0.14244,586.838099
GAQXII,0,1,94,436,-0.20454,-0.10114,0.1034,2.2744,-0.197635,-0.14194,532.595765
GASFUD,0,1,26,248,-0.24182,-0.14058,0.10124,4.808,-0.050398,0.6614,206.438216
GASGAK,0,1,25,236,-0.23525,-0.11109,0.12416,9.1399,-0.047132,0.66161,193.397275
GAWLAT,0,1,56,432,-0.16275,-0.11235,0.0504,10.0672,-0.165508,-0.82908,506.85158
GAWLEX,0,1,56,414,-0.16164,-0.11171,0.04993,9.7076,-0.164751,-0.79693,500.13435
GAWTEF,0,1,199,760,-0.16203,-0.15517,0.00686,8.8036,-0.450888,1.21723,1041.01804
GAXLID,0,1,78,362,-0.17704,-0.09325,0.08379,14.6302,-0.144145,0.93997,483.512141
GAYBUG,0,1,112,636,-0.20806,-0.10915,0.09891,12.3704,-0.29741,0.43207,735.750519
GAYCAN,0,1,110,636,-0.21799,-0.12127,0.09672,11.671,-0.289508,0.43187,726.768104
GAYRIJ,0,1,56,272,-0.21112,-0.0847,0.12642,4.0674,-0.098372,0.97312,315.51394
GEBQEL,0,1,71,404,-0.18159,-0.07142,0.11017,3.406,-0.172821,0.4378,457.142484
GEBQIP,0,1,71,396,-0.17739,-0.07038,0.10701,4.2975,-0.170076,0.44002,456.752448
GEBQOV,0,1,71,364,-0.16702,-0.06279,0.10423,3.1704,-0.168297,0.43409,455.273739
GEBTEP,0,1,51,310,-0.16484,-0.11277,0.05207,11.2587,-0.108256,0.19688,378.03088
GEBTIT,0,1,63,362,-0.16272,-0.11152,0.0512,11.0435,-0.147653,0.19415,458.064099
GEFYEY,1,1,127,562,-0.26158,-0.13603,0.12555,1.9146,-0.345232,0.12,821.664599
GEGHIJ,0,1,56,302,-0.15255,-0.08757,0.06498,9.2892,-0.127539,0.27434,400.177786
GEGQUE,0,1,27,146,-0.24042,-0.08674,0.15368,10.832,-0.046621,0.94376,183.345206
GEGYOI,1,1,57,296,-0.28508,-0.17497,0.11011,7.6578,-0.123601,0.37933,360.806808
GEGYUO,1,1,57,296,-0.28523,-0.17517,0.11006,7.661,-0.123675,0.37858,360.805553
GEGZEZ,1,1,57,296,-0.28533,-0.17485,0.11048,7.6456,-0.123624,0.37832,360.809066
GEHWEY,0,1,69,316,-0.20115,-0.04656,0.15459,0.0052,-0.128078,-0.18905,392.428096
GEHWOI,0,1,69,316,-0.18852,-0.04651,0.14201,0.0058,-0.128723,-0.19097,392.450694
GEJTOH,0,1,38,242,-0.21376,-0.09413,0.11963,6.133,-0.07154,0.43493,261.314412
GEJTUN,0,1,38,242,-0.21386,-0.09415,0.11971,6.1382,-0.071533,0.43514,261.312825
GEJVID,0,1,38,242,-0.21393,-0.09415,0.11978,6.1554,-0.071525,0.43531,261.311566
GEMXAZ,1,1,86,464,-0.29466,-0.19714,0.09752,7.22,-0.207074,0.36039,562.824975
GEMXED,1,1,96,504,-0.292,-0.1932,0.0988,6.2524,-0.243455,0.35331,625.32668
GENZIK,1,1,91,444,-0.27226,-0.20655,0.06571,6.1788,-0.217789,0.39045,573.419553
GEPDAH,0,1,51,248,-0.1821,-0.05968,0.12242,4.5842,-0.093238,1.1824,331.23711
GEQXEG,0,1,37,202,-0.20544,-0.09939,0.10605,8.9242,-0.072651,0.94741,251.510637
GEQXIK,0,1,37,252,-0.21132,-0.08868,0.12264,7.6574,-0.073791,0.73545,259.120765
GEQXOQ,0,1,41,210,-0.20817,-0.09881,0.10936,8.2709,-0.085786,0.96165,267.494955
GEQXUW,0,1,41,260,-0.19794,-0.09123,0.10671,7.6588,-0.08624,0.7273,275.162015
GESHUJ,1,1,121,518,-0.26865,-0.17511,0.09354,1.5636,-0.291695,0.29347,781.934971
GETJUK,0,1,27,230,-0.19865,-0.14381,0.05484,14.2448,-0.058819,0.19347,235.078273
GETNEA,0,1,66,360,-0.18968,-0.11482,0.07486,7.1098,-0.135301,0.4706,383.491361
GETNIE,0,1,66,360,-0.19011,-0.11565,0.07446,7.2453,-0.138148,0.47373,383.67675
GETNOK,0,1,66,360,-0.19472,-0.11662,0.0781,9.914,-0.135884,0.47631,383.634362
GETNOL,1,1,75,418,-0.33876,-0.18484,0.15392,0.0023,-0.160047,0.43645,503.585174
GEVTAF,0,1,97,410,-0.17852,-0.09684,0.08168,4.4085,-0.174891,0.70499,516.360666
GEVXEK,0,1,55,250,-0.16982,-0.16202,0.0078,2.7313,-0.099255,1.17931,341.730619
GEYDOG,1,1,51,298,-0.29226,-0.22116,0.0711,5.19,-0.100491,0.54682,342.907774
GEYWEO,0,1,57,314,-0.16914,-0.07958,0.08956,22.5467,-0.118455,0.33859,341.353759
GEYWUE,0,1,61,318,-0.16984,-0.08087,0.08897,21.6252,-0.122727,0.33913,351.649343
GIBKAG,0,1,51,294,-0.18598,-0.07856,0.10742,3.4422,-0.113902,0.07907,356.947123
GIBKEK,0,1,57,294,-0.1856,-0.07355,0.11205,5.6614,-0.118855,0.14204,368.91316
GIBKIO,0,1,64,326,-0.18661,-0.072,0.11461,5.4771,-0.138147,0.14062,419.978172
GIDCIG,1,1,67,246,-0.312,-0.11993,0.19207,0.0014,-0.109398,0.38023,313.298502
GIDKEL,0,1,45,252,-0.16888,-0.06192,0.10696,0.0001,-0.072708,0.67654,266.596284
GIDKIP,0,1,45,252,-0.16497,-0.0649,0.10007,0.0009,-0.073091,0.6826,266.805399
GIDKOV,0,1,71,346,-0.17273,-0.06537,0.10736,1.3337,-0.123768,0.64042,374.778407
GIDKUB,0,1,71,346,-0.16664,-0.07304,0.0936,1.3137,-0.12276,0.64375,374.770826
GIDLAI,0,1,71,346,-0.17324,-0.06059,0.11265,0.6968,-0.126321,0.62479,374.954003
GIDLEM,0,1,71,346,-0.16705,-0.06559,0.10146,1.61,-0.128527,0.62629,374.721756
GIDLIQ,0,1,76,338,-0.17058,-0.0631,0.10748,0.2089,-0.127776,0.64861,389.554617
GIDLOW,0,1,76,338,-0.17366,-0.06288,0.11078,2.5865,-0.132393,0.64005,389.607193
GIDLUC,0,1,76,338,-0.16788,-0.06658,0.1013,0.5056,-0.136111,0.64722,389.724209
GIDMAJ,0,1,73,330,-0.17125,-0.06304,0.10821,0.564,-0.125423,0.64196,377.899595
GIDMEN,0,1,73,330,-0.16418,-0.07096,0.09322,2.0061,-0.124208,0.64367,377.882582
GIDMIR,0,1,73,330,-0.17252,-0.06293,0.10959,0.9861,-0.123459,0.64382,377.942778
GIDMOX,0,1,73,330,-0.16715,-0.06664,0.10051,0.2292,-0.128192,0.64919,378.095061
GIDMUD,0,1,70,322,-0.17273,-0.06177,0.11096,0.3955,-0.120582,0.63628,366.254347
GIFFOQ,0,1,85,366,-0.18011,-0.08002,0.10009,0.0016,-0.153503,0.66025,452.562829
GIGSUL,1,1,77,402,-0.27456,-0.17634,0.09822,9.4448,-0.193163,-0.32642,515.970673
GIGXIE,0,1,63,288,-0.1931,-0.08895,0.10415,4.4849,-0.133967,1.19284,403.399098
GIJDUZ,0,1,80,378,-0.16945,-0.07489,0.09456,2.08,-0.150445,0.57444,474.378318
GIJFAH,0,1,86,394,-0.1645,-0.07376,0.09074,1.6768,-0.158143,0.5743,497.459188
GIJFEL,0,1,58,290,-0.18872,-0.07624,0.11248,2.5901,-0.104523,0.57565,339.786092
GIJVED,0,1,73,418,-0.17932,-0.09143,0.08789,7.0093,-0.175363,0.4696,518.910341
GILWAA,0,1,197,744,-0.16395,-0.05062,0.11333,0.0041,-0.374029,-0.19563,1042.006932
GILWEE,0,1,177,704,-0.17635,-0.07879,0.09756,0.0044,-0.348391,-0.187,962.615818
GINGAN,0,1,62,316,-0.19842,-0.09258,0.10584,11.3535,-0.146991,1.24894,378.892789
GINSED,1,1,85,382,-0.29274,-0.19969,0.09305,4.2276,-0.174338,0.53141,497.979997
GINSIH,1,1,85,368,-0.26333,-0.15459,0.10874,2.618,-0.169666,0.42911,493.671873
GIPHOF,0,1,92,462,-0.19374,-0.07664,0.1171,5.724,-0.189258,0.44006,556.122521
GIPYEM,0,1,77,458,-0.17286,-0.08877,0.08409,3.59,-0.189331,0.47112,554.020313
GIQGIY,0,1,61,324,-0.16792,-0.06633,0.10159,3.5851,-0.131516,0.44101,392.642028
GIQGOE,0,1,61,332,-0.16852,-0.06743,0.10109,2.7155,-0.139534,0.43435,407.470545
GIQVAG,0,1,77,384,-0.17175,-0.13182,0.03993,2.7879,-0.15987,0.46742,486.785287
GIRJUN,1,1,122,516,-0.2759,-0.17232,0.10358,4.7207,-0.323194,0.33868,768.926396
GITZUG,1,1,78,380,-0.27704,-0.18931,0.08773,5.6147,-0.18851,0.33843,475.808104
GIVBUK,1,1,87,420,-0.27704,-0.19555,0.08149,4.4018,-0.20642,0.3426,533.914868
GIVSOV,0,1,42,350,-0.21784,-0.10345,0.11439,8.5013,-0.088568,0.59136,299.820869
GIWHEA,1,1,42,202,-0.32767,-0.15223,0.17544,7.7665,-0.07403,1.03815,252.715492
GIXZUL,0,1,69,404,-0.19953,-0.09761,0.10192,5.1217,-0.173866,-0.94021,512.535903
GIYBAU,0,1,89,456,-0.1973,-0.0973,0.1,5.2202,-0.212273,-0.94077,623.081415
GIYBIC,0,1,92,464,-0.17661,-0.092,0.08461,7.4332,-0.220218,-0.94123,626.757181
GIYBUO,0,1,69,378,-0.19829,-0.09689,0.1014,5.9651,-0.169653,-0.9321,494.079751
GIZKIJ,1,1,109,470,-0.26393,-0.16591,0.09802,0.9993,-0.277958,0.28361,688.277643
GOBSUL,0,1,173,634,-0.18839,-0.18269,0.0057,2.05,-0.324278,1.28684,883.253193
