refcode,HOMO,LUMO,gap,dipole_moment_Debye,Dispersion_E,Metal_q,Polarizability
KOVWOJ,-0.21379,-0.16436,0.04943,0.0104,-0.054871,-0.06013,231.935555
KUHGOL,-0.2118,-0.09647,0.11533,7.3802,-0.084145,0.9542,262.272168
KUHQEL,-0.15181,-0.09056,0.06125,1.208,-0.127434,0.33965,369.345457
KUHQOV,-0.15123,-0.09281,0.05842,0.887,-0.145116,0.33266,426.427468
KUHRUC,-0.14713,-0.08754,0.05959,0.4843,-0.121278,0.3288,358.031417
KUHSAJ,-0.14855,-0.08863,0.05992,0.2252,-0.124426,0.32673,369.417161
KULTAO,-0.15104,-0.09072,0.06032,10.1379,-0.182727,0.24708,567.734026
KUMBEZ,-0.22938,-0.21129,0.01809,0.0116,-0.047071,0.92893,192.835776
LAYLEC,-0.1408,-0.07634,0.06446,0.7299,-0.132396,0.63566,398.76128
LAYLIG,-0.15245,-0.13053,0.02192,3.8246,-0.121329,0.70895,394.02526
LAYLOM,-0.1371,-0.06873,0.06837,0.0155,-0.122672,0.66185,396.306671
LAZCEU,-0.18335,-0.11849,0.06486,3.654,-0.062331,0.25167,229.764755
LEMNEX,-0.2274,-0.15466,0.07274,0.006,-0.071226,0.80003,256.033207
LEPDUI,-0.28763,-0.20849,0.07914,8.7983,-0.084624,0.53624,285.711228
LEVXUI,-0.19292,-0.14552,0.0474,0.0012,-0.114492,-0.10993,402.272125
LEWMEI,-0.30079,-0.21665,0.08414,1.7273,-0.111113,0.37757,326.368319
LEXSUF,-0.16739,-0.10487,0.06252,0.0743,-0.316198,0.56976,707.757544
LEXTOA,-0.18976,-0.04056,0.1492,0.0005,-0.30706,1.00838,721.68527
LEYXAQ,-0.17926,-0.13,0.04926,0.0558,-0.127373,-0.11513,446.67036
LIBTEX,-0.14458,-0.08859,0.05599,3.9961,-0.1845,0.57875,493.647179
LIFWIJ,-0.19229,-0.18007,0.01222,6.6181,-0.157044,1.81232,478.110963
LIMQOO,-0.121,-0.06209,0.05891,2.6076,-0.224022,-0.19931,525.704349
LIMQUU,-0.10859,-0.06421,0.04438,2.3465,-0.269238,-0.09666,567.137023
LINRAC,-0.25804,-0.17065,0.08739,8.9344,-0.14469,0.34142,381.482428
LINREG,-0.26145,-0.16853,0.09292,7.8737,-0.140405,0.34281,366.708855
LINRIK,-0.26205,-0.16792,0.09413,7.5517,-0.137919,0.32108,354.948206
LINROQ,-0.27928,-0.16729,0.11199,8.8608,-0.138057,0.08704,361.70229
LINRUW,-0.26315,-0.1703,0.09285,9.2168,-0.140151,0.35835,367.074723
LIPGID,-0.13392,-0.04023,0.09369,7.8839,-0.157526,1.66153,418.211168
LIVFUU,-0.15579,-0.1051,0.05069,0.0153,-0.147307,0.70872,439.847377
LIVGAB,-0.15643,-0.10602,0.05041,0.0148,-0.147571,0.71096,439.848749
LIVHEG,-0.15579,-0.10399,0.0518,0.0044,-0.147061,0.69908,439.83956
LIVHIK,-0.15591,-0.10491,0.051,0.0335,-0.147343,0.70513,439.843593
LIVHOQ,-0.16826,-0.10814,0.06012,2.8202,-0.147964,0.66397,442.317522
LODQEC,-0.20484,-0.07019,0.13465,12.5672,-0.066842,0.95284,280.098855
LOHNII,-0.24126,-0.19939,0.04187,14.0855,-0.158576,0.68069,411.999064
LOHNUU,-0.24466,-0.20111,0.04355,12.5457,-0.173271,0.6913,435.199873
LUDCOD,-0.28124,-0.23637,0.04487,0.8463,-0.101326,0.81057,296.425204
LUJCOK,-0.17869,-0.14243,0.03626,6.7862,-0.208981,0.86913,618.210835
LUMDON,-0.17,-0.13722,0.03278,2.0143,-0.139191,0.87371,452.963763
LUTGEO,-0.19246,-0.10565,0.08681,11.4066,-0.112828,0.21365,362.838396
LUWSUS,-0.15172,-0.07868,0.07304,15.4157,-0.102931,0.23241,314.538187
LUWTED,-0.15215,-0.07876,0.07339,15.3427,-0.102981,0.23228,314.522704
LUXJUJ,-0.17364,-0.025,0.14864,9.984,-0.090694,0.41422,242.30572
LUXJUL,-0.17686,-0.12604,0.05082,8.2912,-0.119992,0.54111,385.62268
LUXKIY,-0.23911,-0.06418,0.17493,15.8787,-0.055828,-0.10031,167.376682
MABNEK,-0.15804,-0.05959,0.09845,3.5135,-0.094808,0.71763,319.652707
MADGOQ,-0.27076,-0.21084,0.05992,1.3491,-0.116715,0.59384,329.784016
MADVEV,-0.27082,-0.21079,0.06003,1.348,-0.11676,0.5927,329.78363
MADVIZ,-0.26984,-0.21049,0.05935,2.9684,-0.116705,0.59446,329.766162
MADVUL,-0.26987,-0.21047,0.0594,2.9621,-0.116722,0.59408,329.765806
MADWEW,-0.2699,-0.21046,0.05944,2.9593,-0.116735,0.5938,329.765106
MAJWAV,-0.16376,-0.13832,0.02544,0.0875,-0.135836,-0.04061,519.677881
MAJYIF,-0.18031,-0.13978,0.04053,0.0006,-0.104883,-0.09949,350.00971
MAJYUS,-0.04838,0.02114,0.06952,0.4115,-0.134684,-0.16268,419.124287
MAQXOR,-0.12341,-0.06635,0.05706,2.3225,-0.160915,0.63237,492.105568
MARYEK,-0.14458,-0.04621,0.09837,0.0063,-0.135914,0.41187,430.833235
MAVHIA,-0.18051,-0.09457,0.08594,4.0068,-0.076426,-0.12688,232.696735
MAVJAU,-0.18461,-0.07644,0.10817,4.0972,-0.096424,-0.00719,284.109302
MAVNON,-0.1434,-0.04594,0.09746,0.4543,-0.150805,0.42717,430.840868
MAXBIY,-0.17168,-0.13016,0.04152,7.1972,-0.139758,0.6511,446.232163
MAXCAR,-0.11004,-0.05956,0.05048,0.0105,-0.125084,0.76583,402.794002
MAXGIE,-0.1829,-0.09072,0.09218,0.2025,-0.184361,0.48541,529.807976
MAXGOK,-0.1965,-0.11448,0.08202,1.7807,-0.246151,0.51958,643.439918
MAXGUQ,-0.17799,-0.0869,0.09109,0.3012,-0.19984,0.48271,575.913413
MAXZOC,-0.12148,-0.05547,0.06601,2.1031,-0.214676,0.60328,496.265441
MAYLUU,-0.03253,0.0246,0.05713,7.3491,-0.182505,0.72933,490.692219
MAZHIH,-0.14154,-0.10939,0.03215,2.9306,-0.252084,0.65866,555.661025
MAZHON,-0.15316,-0.11122,0.04194,1.3509,-0.234883,0.74535,532.671194
MEGCEH,-0.16406,-0.07404,0.09002,0.0224,-0.072492,0.6309,266.039966
MEMJIX,-0.20292,-0.154,0.04892,0.0013,-0.136359,-0.08872,417.421917
MENWUY,-0.13564,-0.05556,0.08008,0.0144,-0.069366,0.22628,217.702077
MEPGEW,-0.14907,-0.09925,0.04982,1.2904,-0.186454,0.66989,518.257978
METYEQ,-0.12691,-0.05312,0.07379,0.0049,-0.066249,0.23082,205.19869
MIFRIF,-0.1517,-0.07444,0.07726,13.8141,-0.093938,0.40862,289.899911
MIFROL,-0.15393,-0.07629,0.07764,13.5444,-0.096042,0.39788,301.429381
MIFSAY,-0.18784,-0.08737,0.10047,12.0391,-0.096942,0.31532,289.836269
MIFSEC,-0.18768,-0.08808,0.0996,13.8397,-0.094454,0.35812,289.610176
MIHBUC,-0.16663,-0.08783,0.0788,6.495,-0.194538,0.41675,533.16737
MIMNON,-0.17622,-0.07266,0.10356,12.4314,-0.147513,-0.09278,438.386664
MIMNUT,-0.17175,-0.07567,0.09608,14.1157,-0.159113,0.0205,458.272356
MINNOM,-0.15012,-0.14557,0.00455,13.2413,-0.118209,0.9539,374.360952
MOBKOE,-0.14564,-0.06689,0.07875,7.8521,-0.235385,0.89679,571.092164
MOHRAC,-0.19527,-0.07638,0.11889,8.5291,-0.102557,1.16597,382.31401
MOHSAD,-0.1523,-0.08444,0.06786,0.0011,-0.118387,0.7965,410.503227
MOHSEH,-0.20531,-0.08086,0.12445,0.0014,-0.117884,1.22947,405.07227
MOJROT,-0.16116,-0.09151,0.06965,6.9092,-0.260787,1.15784,574.181167
MOKZUJ,-0.33386,-0.22294,0.11092,17.0556,-0.076575,1.22993,273.163404
MONFOL,-0.15088,-0.08962,0.06126,5.6894,-0.153343,0.39086,461.292416
MONYIX,-0.14713,-0.09826,0.04887,1.9536,-0.214332,0.97969,483.259502
MONYOD,-0.16863,-0.10684,0.06179,2.7202,-0.134036,0.87356,350.085268
MONYUJ,-0.15074,-0.09649,0.05425,1.601,-0.17092,0.96566,413.114037
MONZAQ,-0.1539,-0.09876,0.05514,1.964,-0.161606,0.96685,390.009742
MOPMOU,-0.2424,-0.16012,0.08228,9.1588,-0.147548,0.67353,371.776952
MOPMUA,-0.23894,-0.16399,0.07495,4.5189,-0.146299,0.685,377.044947
MORTMN,-0.16904,-0.11759,0.05145,0.1785,-0.102703,-0.05614,338.520601
MOXNET,-0.14159,-0.0486,0.09299,5.2296,-0.138653,-0.27704,402.668622
MUBKEB,-0.14158,-0.04317,0.09841,4.8973,-0.225796,-0.8417,542.796521
MUBKIF,-0.14182,-0.04895,0.09287,5.3596,-0.269614,-0.64742,618.179074
MUBKOL,-0.12296,-0.0387,0.08426,1.1888,-0.412924,-1.51543,888.064033
MULJIM,-0.21199,-0.12933,0.08266,6.4294,-0.03028,-0.23628,150.452479
MUMCOM,-0.17355,-0.04604,0.12751,5.1874,-0.231481,0.34568,625.965141
MUSSUQ,-0.20336,-0.18621,0.01715,15.4637,-0.197554,1.62199,537.283669
MXPPNI,-0.16398,-0.10324,0.06074,11.5491,-0.105147,0.87316,354.680645
NADDAZ,-0.26075,-0.23592,0.02483,3.583,-0.175373,0.66233,461.641763
NAMLEV,-0.14959,-0.09604,0.05355,9.1189,-0.12655,0.41051,381.850535
NASNOM,-0.2008,-0.15157,0.04923,0.0013,-0.093027,-0.09348,324.204392
NASTOS,-0.15053,-0.06033,0.0902,0.0157,-0.430968,0.29694,1069.765515
NASVUA,-0.15327,-0.07319,0.08008,0.0009,-0.310735,0.27373,752.060749
NASWAH,-0.15117,-0.05986,0.09131,0.0186,-0.369908,0.27138,976.68635
NAWFUP,-0.11587,-0.06723,0.04864,3.2643,-0.104691,0.87991,311.285958
NAZROW,-0.13737,-0.05759,0.07978,8.8271,-0.10312,0.24389,263.921047
NAZRUC,-0.13842,-0.05974,0.07868,9.4499,-0.104706,0.23444,270.367478
NEFSIA,-0.14818,-0.07334,0.07484,14.5843,-0.089929,0.33633,265.268568
NEGYEG,-0.28245,-0.22275,0.0597,2.0553,-0.10673,0.61754,296.753548
NEGYUW,-0.28247,-0.22279,0.05968,2.0542,-0.106713,0.61788,296.753053
NEHNOG,-0.28251,-0.22282,0.05969,2.0582,-0.106697,0.61716,296.753357
NEHWAB,-0.28241,-0.22271,0.0597,2.0554,-0.106733,0.61698,296.75495
NERFUO,-0.17731,-0.1592,0.01811,0.0646,-0.22248,0.8716,555.449551
NERYIU,-0.18007,-0.09844,0.08163,0.0353,-0.069205,0.62963,257.079759
NETGEA,-0.14738,-0.06235,0.08503,0.0016,-0.163407,0.27244,447.431921
NETJON,-0.17194,-0.06434,0.1076,0.0062,-0.27544,0.28626,674.195291
NIBRBQ,-0.16624,-0.11836,0.04788,8.5248,-0.074153,0.42303,271.14471
NIDMOE,-0.13805,-0.09664,0.04141,8.7172,-0.159529,0.83973,413.826797
NIDMUK,-0.11541,-0.06918,0.04623,8.0945,-0.18389,0.71047,476.797437
NIDNEV,-0.0103,0.06639,0.07669,10.6373,-0.150958,0.22537,372.280534
NILLIE,-0.17511,-0.11205,0.06306,0.0144,-0.07513,0.63145,279.342252
NIPLUU,-0.15432,-0.09109,0.06323,14.7635,-0.098822,0.24842,302.929807
NIPMEF,-0.14983,-0.09739,0.05244,2.5784,-0.084626,0.31462,269.696817
NIQCOH,-0.34823,-0.21025,0.13798,5.6731,-0.105834,1.55274,314.513003
NIWCIG,-0.18157,-0.05985,0.12172,0.0005,-0.075799,0.63281,302.521423
NOCJOE,-0.18272,-0.1028,0.07992,8.1066,-0.124804,0.71989,368.781625
NOCSIH,-0.19334,-0.1548,0.03854,12.702,-0.119658,-0.10223,406.646555
NOLGAZ,-0.17639,-0.12202,0.05437,0.0115,-0.114506,0.6342,430.423932
NOMHEC,-0.14087,-0.13485,0.00602,0.2278,-0.090499,0.63503,275.409965
NOSHUA,-0.1677,-0.12751,0.04019,0.713,-0.150117,0.79757,526.200922
NOWBIK,-0.18665,-0.15687,0.02978,4.7637,-0.165981,0.42586,524.061326
NUGTAK,-0.14812,-0.11184,0.03628,2.3784,-0.188347,0.55967,509.552168
NUKMIR,-0.15895,-0.10309,0.05586,6.1841,-0.092924,0.45326,277.056134
NUKMUD,-0.15806,-0.10635,0.05171,6.829,-0.094807,0.44847,288.67467
NUKNOY,-0.15904,-0.10388,0.05516,6.5913,-0.100726,0.45636,296.836914
NUMBEC,-0.15158,-0.07402,0.07756,14.7333,-0.096321,0.35306,276.865261
NUQBUW,-0.20285,-0.13184,0.07101,9.3426,-0.042005,0.61753,155.737728
NUSMOE,-0.08393,-0.05081,0.03312,13.6989,-0.086827,-0.56703,307.549634
NUSZUX,-0.15426,-0.06376,0.0905,1.8202,-0.130326,0.46083,352.993366
NUTBAG,-0.15168,-0.0748,0.07688,3.1365,-0.133183,0.47533,368.505929
NUTBEK,-0.14521,-0.10616,0.03905,6.7714,-0.105864,0.4785,303.65715
NUTBIO,-0.14107,-0.10612,0.03495,6.5446,-0.125376,0.49833,343.513383
NUTBOU,-0.14265,-0.09829,0.04436,5.7239,-0.103273,0.51232,290.619752
NUTBUA,-0.13887,-0.09536,0.04351,5.7491,-0.12258,0.49976,330.600791
NUYFET,-0.16025,-0.06315,0.0971,2.1411,-0.095466,0.67879,288.120706
NUYFEU,-0.16106,-0.06793,0.09313,0.62,-0.178257,0.43272,503.54446
NUYGAR,-0.15305,-0.07259,0.08046,1.7871,-0.183119,0.4287,559.480577
NUYGUL,-0.1577,-0.0658,0.0919,2.5463,-0.139665,0.42607,411.17413
OBOSED,-0.20014,-0.1191,0.08104,2.4271,-0.113222,0.70317,337.584319
OCESIZ,-0.2964,-0.20074,0.09566,11.0737,-0.060853,0.68889,215.585303
OCOBAM,-0.15389,-0.09801,0.05588,9.6689,-0.131321,0.40926,405.482826
ODESOG,-0.09302,-0.03578,0.05724,0.0242,-0.105138,0.64751,342.799405
ODUXIX,-0.12648,-0.06164,0.06484,7.5622,-0.249636,0.66147,581.140471
OFOCOD,-0.18146,-0.13963,0.04183,0.0061,-0.089976,-0.10406,334.575499
OGEVUS,-0.16384,-0.07075,0.09309,4.2839,-0.138217,0.26157,337.79881
OGOREJ,-0.16258,-0.10983,0.05275,3.3528,-0.149626,0.66222,451.804252
OGOROT,-0.17591,-0.11582,0.06009,0.0366,-0.080178,0.63339,292.774086
OHIJIA,-0.1853,-0.14463,0.04067,0.0019,-0.065098,-0.09982,267.455105
OHUBAV,-0.13772,-0.07312,0.0646,0.0013,-0.15845,0.68234,480.545457
OJADUA,-0.15838,-0.13801,0.02037,0.5678,-0.203151,0.87689,596.67547
OJAPAQ,-0.19235,-0.08407,0.10828,3.1962,-0.247833,-0.47989,590.001446
OJIVUY,-0.14057,-0.0912,0.04937,0.052,-0.114238,0.34889,366.342041
OKAXUT,-0.14501,-0.09704,0.04797,4.089,-0.129446,0.46103,341.747133
OKAYAA,-0.14705,-0.0959,0.05115,3.941,-0.14608,0.50198,376.628912
OKISUW,-0.17089,-0.11792,0.05297,2.3888,-0.18315,-0.33976,421.475737
OKUNOZ,-0.12965,-0.08316,0.04649,3.1067,-0.151041,0.74607,435.620187
OLIBES,-0.16859,-0.10034,0.06825,0.7763,-0.178181,0.52884,494.65237
OMAHOZ,-0.13934,-0.12294,0.0164,0.0758,-0.130674,0.80966,367.940004
ONAXUY,-0.15598,-0.0912,0.06478,4.6643,-0.148385,0.45235,423.296904
ONUHIQ,-0.19846,-0.16892,0.02954,1.9313,-0.139051,0.89273,446.724601
OQILUX,-0.17982,-0.13917,0.04065,0.044,-0.084272,-0.09671,313.557963
OSELOO,-0.13411,-0.08341,0.0507,9.6785,-0.1874,-0.00213,479.799363
OSUBOU,-0.03725,0.03084,0.06809,2.5599,-0.137254,0.88882,391.754711
OSUBUA,-0.04687,0.05556,0.10243,6.2199,-0.134701,0.8946,394.549229
OTAGIB,-0.15722,-0.06389,0.09333,12.6737,-0.097452,-0.06982,286.432523
OTAGUN,-0.19683,-0.0828,0.11403,14.3668,-0.096658,-0.06702,285.934751
OTUSUS,-0.15863,-0.01419,0.14444,1.8669,-0.168269,0.05853,436.493104
OVEVAN,-0.22623,-0.17331,0.05292,4.0736,-0.197916,0.85222,561.460469
PACQAM,-0.12468,-0.08483,0.03985,0.0018,-0.205556,0.22827,554.617487
PACQEQ,-0.13039,-0.09148,0.03891,0.0014,-0.333047,0.2224,818.894125
PAGJUC,-0.15572,-0.06612,0.0896,0.0005,-0.150197,0.74056,369.257808
PANNEX,-0.18327,-0.07486,0.10841,1.0631,-0.092387,0.73708,292.22128
PARFEV,-0.1536,-0.05641,0.09719,1.0385,-0.199876,0.68215,600.799198
PARFIZ,-0.15471,-0.05673,0.09798,2.4616,-0.19756,0.68215,577.566339
PAXVAM,-0.16187,-0.12967,0.0322,7.3502,-0.07278,0.0701,242.837161
PAXVEQ,-0.16072,-0.12719,0.03353,8.6299,-0.091815,0.08674,305.403502
PAYZUN,-0.15232,-0.10615,0.04617,0.3617,-0.099594,0.65943,321.905743
PAZBAW,-0.16435,-0.11554,0.04881,10.3086,-0.062168,0.67046,233.307341
PAZBUQ,-0.34508,-0.2356,0.10948,0.0156,-0.106613,0.37789,312.663302
PAZGIJ,-0.17699,-0.11191,0.06508,8.0719,-0.104776,0.78035,304.862735
PETHON,-0.3022,-0.14628,0.15592,9.2635,-0.07538,1.11932,234.125768
PEVJUY,-0.1375,-0.07154,0.06596,6.6283,-0.169751,-0.30428,480.453689
PEVKEJ,-0.14243,-0.07345,0.06898,6.6136,-0.207089,-0.2892,615.60997
PEVKIN,-0.14224,-0.06734,0.0749,6.8526,-0.206856,-0.2985,615.589414
PEXNAH,-0.23702,-0.17626,0.06076,7.3675,-0.075186,0.74285,228.737504
PIVVEY,-0.15486,-0.05699,0.09787,2.4402,-0.264393,0.68316,764.254616
PIXMIV,-0.16767,-0.07165,0.09602,8.8681,-0.13982,0.59327,386.285407
PIZMUG,-0.16236,-0.12639,0.03597,3.858,-0.132228,0.64918,427.516107
POBBAM,-0.15255,-0.05893,0.09362,4.9608,-0.165367,-0.19752,395.53395
POBBIU,-0.15526,-0.08176,0.0735,4.0706,-0.173002,-0.16658,426.761081
POHKIG,-0.04248,0.01404,0.05652,2.4093,-0.059595,0.67066,211.305434
POHLON,-0.17696,-0.12919,0.04777,10.9159,-0.110055,0.24239,350.844848
POKNAF,-0.11586,-0.08017,0.03569,0.0181,-0.118481,0.1454,378.741229
PORXAX,-0.21798,-0.14202,0.07596,0.0126,-0.114535,0.58148,354.491344
POSRAQ,-0.12449,-0.11881,0.00568,1.311,-0.141399,0.87733,372.076501
POVBUA,-0.1467,-0.09489,0.05181,3.9944,-0.12001,0.70183,391.265669
PUCFUQ,-0.17771,-0.08973,0.08798,2.7365,-0.129822,0.06875,361.943722
PUCHOL,-0.14787,-0.09203,0.05584,2.0499,-0.270154,0.93553,607.203582
PUHJUZ,-0.18683,-0.12102,0.06581,11.0989,-0.103965,0.39794,341.150577
PUHKEK,-0.17555,-0.11404,0.06151,16.136,-0.134684,0.40897,408.969957
PUQNUM,-0.25626,-0.13666,0.1196,0.2647,-0.131846,0.14481,442.069206
PURCUA,-0.14607,-0.07033,0.07574,1.603,-0.091462,0.72459,248.508584
PUVDOB,-0.14053,-0.06214,0.07839,6.1771,-0.159564,0.2965,381.385324
PUVDUH,-0.13933,-0.07135,0.06798,5.7971,-0.154133,0.31949,381.376151
PUVFAP,-0.14158,-0.07593,0.06565,5.3236,-0.203702,0.53019,474.233906
PUVFET,-0.14128,-0.07459,0.06669,5.0959,-0.246481,0.52997,542.717007
QADFAF,-0.28245,-0.22109,0.06136,5.217,-0.119938,0.67337,320.45606
QADFEJ,-0.28243,-0.22103,0.0614,5.2135,-0.119991,0.67188,320.454095
QADFOT,-0.28249,-0.22108,0.06141,5.2283,-0.120025,0.67116,320.454526
QAHQAT,-0.30524,-0.20585,0.09939,8.2554,-0.047636,0.69372,175.623116
QAHVIE,-0.14658,-0.087,0.05958,0.0075,-0.135839,0.40422,420.087632
QAKCOX,-0.12953,-0.08379,0.04574,1.6958,-0.133038,0.63258,442.798041
QAKCUD,-0.1299,-0.0842,0.0457,1.6311,-0.133094,0.62815,442.793717
QAMDOA,-0.15636,-0.11663,0.03973,11.791,-0.16655,0.24728,510.128621
QANLEW,-0.14264,-0.13907,0.00357,3.0765,-0.287653,1.16084,719.613471
QAQREI,-0.15558,-0.09919,0.05639,10.1044,-0.132619,0.40655,418.664465
QAQVOU,-0.19431,-0.1607,0.03361,2.9996,-0.297971,0.87154,808.529777
QAVNEJ,-0.15177,-0.07207,0.0797,2.8834,-0.1682,0.77473,441.400787
QAYMAE,-0.15625,-0.09268,0.06357,12.7261,-0.073459,-0.56573,249.35762
QEDCIO,-0.15655,-0.09877,0.05778,5.7468,-0.078996,0.51569,271.185225
QEJVUW,-0.15487,-0.00015,0.15472,8.6397,-0.171097,1.29805,422.496791
QEKFAP,-0.12723,-0.07639,0.05084,0.0048,-0.323098,0.74052,805.298697
QEKFET,-0.12339,-0.07337,0.05002,0.0034,-0.312736,0.6325,818.259853
QELPAB,-0.21219,-0.0924,0.11979,7.0788,-0.100234,1.16409,349.614156
QETJAB,-0.15125,-0.09576,0.05549,1.8131,-0.111236,0.38072,323.393598
QEVQAK,-0.16473,-0.12752,0.03721,0.1441,-0.206428,0.8756,559.96997
QIDJET,-0.18835,-0.10102,0.08733,14.5461,-0.120372,0.2669,364.128634
QIDJIX,-0.18835,-0.10107,0.08728,14.6015,-0.120349,0.26728,364.128258
QIJLUT,-0.1721,-0.09822,0.07388,0.0014,-0.331078,1.20823,906.724506
QILBAO,-0.09441,-0.04728,0.04713,2.376,-0.116666,0.65357,388.863157
QIPVOC,-0.14808,-0.05376,0.09432,7.2657,-0.177388,0.65709,536.86249
QOBMUQ,-0.29763,-0.25707,0.04056,9.5884,-0.137028,0.90587,352.892851
QOCJIC,-0.1555,-0.14313,0.01237,2.6502,-0.251554,1.19219,626.073066
QOCNOL,-0.15875,-0.13459,0.02416,0.0101,-0.111769,-0.0353,439.868772
QOFFUM,-0.22272,-0.17077,0.05195,0.3112,-0.077351,-0.10786,294.406546
QOFJEA,-0.15319,-0.1429,0.01029,2.7182,-0.141851,0.52476,373.858844
QOFJIE,-0.1641,-0.15102,0.01308,5.9546,-0.140554,1.02694,364.883076
QOGPOS,-0.17502,-0.11199,0.06303,0.0081,-0.075087,0.63259,279.343314
QOHWAM,-0.10524,-0.06591,0.03933,0.0006,-0.116972,0.24095,379.836037
QOHWEQ,-0.10522,-0.06595,0.03927,0.0004,-0.116954,0.24206,379.835121
QOJZUN,-0.16513,-0.06705,0.09808,0.0153,-0.085599,0.62526,299.369747
QOMDAY,-0.14947,-0.08949,0.05998,0.2818,-0.11225,0.33083,335.039173
QOMQOZ,-0.3077,-0.22448,0.08322,5.8563,-0.098043,0.71633,297.758415
QOQQUJ,-0.1384,-0.04969,0.08871,0.8307,-0.120009,0.45071,367.332389
QOVKIW,-0.04938,0.01587,0.06525,5.3338,-0.170661,0.4633,511.228723
QOXZAG,-0.30226,-0.22509,0.07717,0.9268,-0.110652,0.65862,310.495238
QOXZEK,-0.29932,-0.21724,0.08208,0.0151,-0.12346,0.63466,333.738675
QOYGAN,-0.16221,-0.1377,0.02451,0.0035,-0.115759,-0.03244,467.039663
QUCJOP,-0.17464,-0.11059,0.06405,7.4631,-0.153738,0.42995,423.42174
QUHWAT,-0.15086,-0.06879,0.08207,12.8522,-0.107156,0.38999,300.170215
QUNHUE,-0.19286,-0.07867,0.11419,12.5829,-0.085455,1.13996,311.874176
QUNYAA,-0.16517,-0.11147,0.0537,10.2127,-0.135922,0.24954,423.230655
QUNYEE,-0.16521,-0.11135,0.05386,10.1481,-0.136032,0.25122,423.2428
QUQNAT,-0.16069,-0.11267,0.04802,14.5327,-0.158655,0.22152,448.919135
QUWBAN,-0.1862,-0.15375,0.03245,2.383,-0.16802,0.87542,534.976413
QUWGOG,-0.1757,-0.11188,0.06382,0.1316,-0.099624,0.61901,342.277118
QUWTEJ,-0.1588,-0.07556,0.08324,7.8802,-0.250414,0.46531,695.067081
RADCUW,-0.1674,-0.08571,0.08169,5.1701,-0.100649,0.41418,337.453476
RADDAD,-0.1616,-0.08112,0.08048,5.4095,-0.111592,0.40365,360.420404
RADDOR,-0.17228,-0.09058,0.0817,8.1816,-0.117937,0.34229,381.381511
RADFAF,-0.17421,-0.09388,0.08033,7.5435,-0.153516,0.34602,483.647082
RAKQUQ,-0.16194,-0.07131,0.09063,15.4082,-0.121702,0.50165,352.175378
RALWAD,-0.25182,-0.19963,0.05219,8.3446,-0.136424,0.71925,363.455637
RAPZAL,-0.10283,-0.04468,0.05815,14.4753,-0.124233,0.76532,366.460166
RATLOQ,-0.16474,-0.15347,0.01127,1.0398,-0.263805,1.64175,649.755648
RECVUT,-0.1669,-0.08675,0.08015,2.5005,-0.089404,0.07082,245.133078
RECZEG,-0.29358,-0.22109,0.07249,1.2693,-0.148295,0.35816,443.42107
RESKOR,-0.13933,-0.05794,0.08139,0.0032,-0.097082,0.48662,284.57746
RESZOF,-0.14975,-0.08325,0.0665,4.224,-0.171189,-0.36353,423.071839
RESZUL,-0.10849,-0.05026,0.05823,5.5268,-0.207935,0.49833,491.610804
RETTIU,-0.27023,-0.21238,0.05785,2.1086,-0.119455,0.60171,329.784165
RETTOA,-0.27682,-0.20939,0.06743,5.6094,-0.101062,0.62573,306.805194
REYFEG,-0.18331,-0.1428,0.04051,0.0204,-0.104809,-0.10204,392.68695
RINCAS,-0.16475,-0.13373,0.03102,0.3381,-0.126507,0.87614,387.853472
RIRBOL,-0.14551,-0.05999,0.08552,8.8611,-0.10759,0.15822,284.389464
RIRBUR,-0.15403,-0.07878,0.07525,14.1203,-0.117533,0.31216,325.840582
RISWIC,-0.16707,-0.12287,0.0442,0.0188,-0.074571,-0.00081,263.921793
ROJRIU,-0.19677,-0.06206,0.13471,3.735,-0.153342,-0.34877,399.8918
ROJRUG,-0.174,-0.08238,0.09162,2.2175,-0.11141,0.61929,303.248245
ROKGUV,-0.12298,-0.03345,0.08953,2.1788,-0.302298,0.19717,689.559797
ROKHAC,-0.12024,-0.03234,0.0879,3.0308,-0.277975,0.16307,638.427694
ROKHEG,-0.12025,-0.03224,0.08801,3.0374,-0.277939,0.16187,638.42775
RONPIT,-0.16166,-0.11661,0.04505,14.3522,-0.17048,0.21931,504.366096
RUFFUV,-0.26963,-0.19864,0.07099,10.8979,-0.117581,0.8344,347.160881
RUTBEP,-0.20807,-0.06248,0.14559,2.0169,-0.331538,-1.61386,792.004035
RUWLEB,-0.1546,-0.07539,0.07921,4.6127,-0.07328,0.37536,230.884441
RUWLIF,-0.13447,-0.05983,0.07464,1.2594,-0.074793,0.48395,230.947617
RUXCEU,-0.16546,-0.05176,0.1137,5.0629,-0.421312,1.61661,950.948369
RUZXUF,-0.10237,-0.00954,0.09283,0.0018,-0.201198,0.03472,503.278891
RUZYAM,-0.09407,-0.05951,0.03456,0.0012,-0.203928,0.22534,524.861615
SADNUI,-0.13364,-0.10032,0.03332,4.3903,-0.137475,0.5289,384.820048
SAGMUJ,-0.17844,-0.12229,0.05615,5.955,-0.084984,0.70261,296.20709
SAGXON,-0.30525,-0.2059,0.09935,8.2537,-0.047635,0.69383,175.62354
SAKWIM,-0.14233,-0.08549,0.05684,2.9916,-0.222636,0.89768,501.634553
SAKWOS,-0.12943,-0.083,0.04643,4.6457,-0.196352,0.91183,448.986112
